DATE,Producer Price Index(By  Industry in $),Export Price Index(End Use of semiconductors),Import Price Index(in $ End Use of semiconductors),No. of employed peoples in semiconductor industry,Export Price Index (End use excluding without semiconductors),Relative Importance Weights (Contribution to the Total Industrial Production Index % WISE),"Import Price Index (End Use): Capital Goods, Excluding Computers, Peripherals, and Semiconductors","Export Price Index(End Use): Capital Goods, Excluding Computers, Peripherals, and Semiconductors","Industrial Production: Non-Energy Excluding Motor Vehicles & Parts, Computers, Communications Equipment, and Semiconductors"
01-11-2012,59.1,63,65.6,377.8,57.2,2.8933,117.5,145.3,101.7846
01-12-2012,58.8,63.1,66.2,379.1,56.9,2.836,117.4,143.9,102.1969
01-01-2013,58.9,63.8,66.2,378.4,57,2.7987,117.5,142.4,101.8763
01-02-2013,58.9,64.3,65.8,376.8,56.9,2.7212,117.4,139.8,102.1898
01-03-2013,58.7,64.2,65.4,375.6,56.7,2.6643,117.2,139.6,101.9266
01-04-2013,59.2,63,64.8,375.2,56.8,2.6462,117,139.6,101.5081
01-05-2013,59.4,63,64.9,374.9,56.6,2.6084,116.7,138.8,101.7307
01-06-2013,59.5,62.9,65,375.5,56.8,2.5727,116.6,139.5,101.8415
01-07-2013,59.5,63.9,64.7,374.7,56.3,2.591,116.6,139.2,101.3291
01-08-2013,59.4,63.8,64.9,374.7,56.3,2.5841,116.5,138.5,101.8564
01-09-2013,59.2,63.7,64.9,375,56.2,2.5626,116.4,136.5,101.8551
01-10-2013,59.3,62.7,64.7,372.4,56,2.5715,116.4,135.6,101.9341
01-11-2013,59.4,62.7,65.2,374,56.4,2.5606,116.5,135.3,101.6887
01-12-2013,59.4,62.5,65.3,371.6,56.1,2.532,116.4,134.3,101.5281
01-01-2014,58.9,61.9,65,369.8,56.2,2.5219,116.7,132.8,100.8823
01-02-2014,58.8,62,64.8,369.5,56,2.5243,116.5,131.7,101.3448
01-03-2014,58.8,62.2,64.9,368.5,56.3,2.5109,116.5,131,102.2811
01-04-2014,58.7,62,64.9,367.2,56.4,2.5103,116.5,131,102.1682
01-05-2014,58.7,62.2,64.7,367.1,56.5,2.5222,116.6,131.7,102.242
01-06-2014,58.7,62.2,64.6,365.7,56.3,2.5122,116.7,133.3,102.6722
01-07-2014,58.8,61.4,64.5,365.4,55.8,2.4975,116.7,134.3,102.7729
01-08-2014,58.8,61.6,64.6,365.7,55.5,2.5094,116.8,134.6,102.5419
01-09-2014,58.8,61.4,64.7,366.4,55.6,2.504,116.6,133.5,102.6991
01-10-2014,58.8,60.7,64.7,367.5,55.7,2.5048,116.4,134,102.5264
01-11-2014,58.8,60.8,64.2,367.1,55.4,2.4979,116.3,134.3,102.8951
01-12-2014,58.7,61.4,64,367.8,55.1,2.485,116.2,134.4,102.7978
01-01-2015,58.7,61.6,64,370,55,2.4905,115.9,134.9,102.139
01-02-2015,58.7,61.6,64,369.4,55.1,2.5111,115.5,135.3,101.5339
01-03-2015,58.6,61.6,63.9,369.1,54.7,2.519,115.4,135.8,101.6481
01-04-2015,58.6,60.9,63.9,369.8,53.9,2.5516,115,136,101.3999
01-05-2015,58.7,60.7,63.7,369.7,53.5,2.5533,115,136.3,101.1738
01-06-2015,58.3,60.9,63.3,369.1,53.1,2.5579,115,135.5,101.1704
01-07-2015,58.4,61.2,62.9,369.6,52.8,2.5129,114.7,135.3,101.2811
01-08-2015,58.2,60.8,63.1,369.1,52.5,2.4872,114.5,136,101.2901
01-09-2015,58.1,60.9,62.6,369,52.5,2.4771,114.6,136.9,100.7675
01-10-2015,58.1,60.4,62.5,369.6,52.3,2.4791,114.3,138,100.5973
01-11-2015,58.1,60.4,62.4,370.2,52.1,2.4365,114.1,138,100.5962
01-12-2015,58.1,60.1,62.3,370.4,51.7,2.4569,113.8,138.8,100.2976
01-01-2016,57.7,59.3,62.4,370.6,50.9,2.4397,113.5,138.8,100.5423
01-02-2016,57.6,59.3,62.2,371,50.6,2.4369,113.6,139.9,100.133
01-03-2016,57.6,59.4,62.2,369.4,50.1,2.4415,113.4,140.2,100.0302
01-04-2016,57.5,59.3,61.8,369.2,49.9,2.4141,113.2,140.7,99.7303
01-05-2016,57.5,59.2,61.5,370.7,49.7,2.4107,113.2,141.4,99.8831
01-06-2016,57.5,59.2,61.3,369.1,49.6,2.3792,113,142.5,99.6452
01-07-2016,57.4,59.1,61.2,365.9,49.1,2.3801,113,142.8,99.5811
01-08-2016,57.4,59.1,61.1,366.2,48.7,2.3874,113.1,142,99.1748
01-09-2016,57.1,59,61.1,364.6,48.5,2.4241,113.1,141.9,99.2405
01-10-2016,56.9,59,60.9,363.6,48,2.4541,113,141.9,99.3579
01-11-2016,56.9,59.3,60.8,362.6,48.2,2.4734,112.9,142.6,99.2827
01-12-2016,56.9,59.3,60.9,363,48.2,2.4493,112.9,141.5,99.119
01-01-2017,57.4,59.1,60.4,360.6,47.8,2.4237,112.7,140.5,99.5502
01-02-2017,57.4,59.1,60.5,360,47.7,2.4092,112.7,139.6,99.4369
01-03-2017,57.3,59.1,60.5,361.1,47.7,2.3957,112.7,140.7,99.3766
01-04-2017,57.6,59.1,60.6,361.1,48.1,2.4247,112.7,141.8,100.1678
01-05-2017,57.5,59.1,60.7,360.5,48.2,2.4237,112.7,142,99.9262
01-06-2017,57.4,59.1,60.8,361.1,48.2,2.4037,112.8,141.5,100.0886
01-07-2017,56.6,59.4,60.9,361.3,48.3,2.3681,113.1,140.7,100.2882
01-08-2017,56.5,59.4,60.9,359.8,48.2,2.3645,113.3,141,99.7654
01-09-2017,56,59.4,61,362.8,47.9,2.3746,113.3,140.1,99.6884
01-10-2017,56,60.6,61.1,364.8,48.1,2.3653,113.4,139.7,100.5902
01-11-2017,56,60.6,61.1,365.5,48.1,2.3652,113.3,139.8,100.8319
01-12-2017,56,60.6,61.1,367.3,48,2.3672,113.2,139.9,100.2895
01-01-2018,56.1,60.6,61,366.3,48.1,2.3407,113.4,139.7,99.7376
01-02-2018,56.3,60.5,61.3,367,48,2.3054,113.7,140.6,100.7041
01-03-2018,56.4,60.7,61.4,367.7,47.9,2.2817,113.8,138.8,100.428
01-04-2018,56.4,61.1,61.5,368.6,48.2,2.2618,113.8,136.6,101.2886
01-05-2018,56.2,61.3,61.4,368.6,48.1,2.272,113.8,131.5,101.0443
01-06-2018,56.2,61.3,61.1,369.3,48,2.2764,113.6,131.5,101.2142
01-07-2018,55.9,61.5,60.9,370.3,48,2.2921,113.6,134,101.7093
01-08-2018,55.5,61.3,60.8,369.9,48,2.3002,113.5,135.4,101.5408
01-09-2018,55.9,61.5,61.2,369.7,48.1,2.2878,113.4,136.2,101.3196
01-10-2018,55.6,61,61.2,369.9,47.8,2.272,113.4,137,100.9452
01-11-2018,55.6,61,61,370.6,47.6,2.234,113.4,137.3,100.6124
01-12-2018,55.6,60.9,60.6,371.6,47.4,2.2246,113.4,138.5,100.6062
01-01-2019,55.1,60.9,60.1,375,47.3,2.2615,113.8,140.3,100.2018
01-02-2019,55.1,60.9,60,375.5,46.7,2.2891,113.8,144.3,99.6022
01-03-2019,55.1,60.9,59.9,375.2,46.5,2.2903,113.8,146.9,99.386
01-04-2019,55.2,60.8,58.9,375,45.8,2.3015,113.9,150.7,98.6826
01-05-2019,55.1,60.7,58.7,374.8,45.2,2.3023,113.9,152.6,98.6153
01-06-2019,55.3,60.6,58.4,376.2,45.1,2.3202,113.9,156.3,98.6873
01-07-2019,55.4,60.3,57.7,377.3,45,2.3351,114,158.1,98.2054
01-08-2019,55.5,60.5,57.3,377.1,44.8,2.3284,114,159.9,98.7541
01-09-2019,55.6,60.5,57.3,377.7,45,2.3078,113.9,160.4,98.5561
01-10-2019,55.6,59.7,57.3,376,44.4,2.3037,113.8,161.1,98.08
01-11-2019,55.5,59.9,57.4,376.5,44.3,2.3143,113.7,163.5,98.0579
01-12-2019,55.6,60,57.6,375.4,44,2.3407,113.7,,98.4239
01-01-2020,55.5,60,57.9,374.7,43.8,2.3335,114.1,,98.1198
01-02-2020,55.5,60,58,374.7,44.1,2.3009,114.2,,98.0177
01-03-2020,55.6,60,57.8,373.6,44.8,2.3983,114.3,,95.6539
01-04-2020,54.9,60.6,58,370.3,44.5,2.6989,114.4,,83.7281
01-05-2020,54.9,60.4,57.7,368,44.5,2.6044,114.3,,86.3478
01-06-2020,54.9,61.2,57.3,370.6,44.2,2.4548,114.4,,89.2317
01-07-2020,54.7,61.2,56.4,368.2,44.3,2.3602,114.7,,91.3354
01-08-2020,54.7,61.2,56.1,368.5,44.1,2.2949,114.9,,93.4859
01-09-2020,54.7,61.1,56,368.6,43.5,2.3062,115.2,,93.4584
01-10-2020,53.8,61.1,55.7,369.2,43,2.2907,115.4,,95.0466
01-11-2020,53.9,61.1,55.7,367.4,42.7,2.2572,115.5,,95.5524
01-12-2020,54.1,61.1,55.9,368.2,42.4,2.2027,115.7,,96.1821
01-01-2021,54.2,61.1,56.2,369.7,42.8,2.164,116,,97.5709
01-02-2021,54.2,61.1,56.4,369.2,42.8,2.2125,116.1,,94.5614
01-03-2021,54.3,61.1,56.7,370.6,43.1,2.1413,116.2,,97.6191
01-04-2021,54.2,61,57.1,371.1,43.6,2.1274,116.4,,97.4933
01-05-2021,54.5,61,57.1,372.1,43.8,2.0953,116.5,,97.9699
01-06-2021,54.7,61.1,57.1,372.3,44.8,2.0354,116.8,,97.957
01-07-2021,54.558,61,57.3,372,44.8,1.9941,117.1,,98.9919
01-08-2021,54.717,61,57.4,373.2,44.8,1.9822,117.2,,99.0165
01-09-2021,54.789,61.4,57.5,374.2,45.1,2.0024,117.2,,98.812
01-10-2021,55.058,61.1,57.2,375.4,44.9,1.9712,117.4,,99.1646
01-11-2021,55.283,,,374.8,,,,,
